stagger,version,SUM(count)
R1.1,262.3,2
SB1.1,262.11,37
R1.1,262.9,39
SB1.2,262.9,40
R2b.1,262.9,16
SB2.2,262.11,2
R2a.2,262.3,9
SB1.2,260.1,1
R2a.2,262.9,75
SB2.2,262.3,1
R0.2,262.9,3
R2a.1,262.7,108
R1.2,262.7,27
R2b.2,262.9,33
R2a.1,262.9,72
SB0,262.3,1
SB1.2,262.3,2
SB1.1,262.9,26
SB2.1,262.11,5
R2a.1,262.3,4
R2b.2,262.7,21
R2b.1,262.7,9
SB2.1,262.9,17
SB1.2,262.11,20
SB2.2,262.9,15
R0.1,262.9,5
SB1.2,260.15,1
SB1.1,262.14,4
R0.1,262.14,2
R2a.2,262.7,139
R1.1,262.7,17
R1.2,262.9,20
SB0,262.14,3
R2b.2,262.3,5
