stagger,version,SUM(count)
R2b.1,262.9,3
R1.1,262.9,10
SB1.2,260.1,1
R0.1,262.13,5
SB1.2,262.15,15
SB1.1,264.1,3
R1.2,262.13,19
SB1.2,260.15,1
SB2.1,262.13,9
R2b.1,262.13,11
SB1.1,262.18,1
SB1.2,262.13,45
R2b.2,262.11,20
R1.2,262.11,23
SB2.2,262.3,1
R2b.2,262.13,24
SB0,264.1,1
SB1.2,262.3,2
SB2.2,262.13,14
R0.1,264.1,2
R1.2,262.9,5
SB1.1,262.15,33
SB0,264.2,1
R2a.2,262.11,106
R2a.1,262.9,38
R2b.1,262.11,11
R2a.1,262.15,1
R2b.2,262.7,5
R1.1,262.13,37
R2a.1,262.11,73
R2b.2,262.9,10
SB1.1,262.13,30
R2a.1,262.13,72
SB0,262.18,1
R2a.2,262.13,58
SB2.2,262.11,1
SB2.1,262.15,5
R1.1,262.11,11
R0.2,262.13,3
SB2.1,262.11,8
SB2.2,262.15,2
R2a.2,262.9,59
