current_version,week_start,pct_of_SB0,pct_of_SB1,pct_of_R0,pct_of_R1,pct_of_R2a,pct_of_R2b
260.15,2026-02-23,11.1,2.0,0.0,95.5,83.5,44.8
260.15,2026-03-02,11.1,2.4,0.0,95.5,84.0,45.7
260.15,2026-03-09,11.1,2.4,0.0,95.5,84.0,45.7
260.15,2026-03-16,11.1,2.4,0.0,95.5,84.0,45.7
260.15,2026-03-23,11.1,2.4,0.0,95.5,84.0,45.7
260.15,2026-03-30,11.1,2.4,0.0,95.5,84.0,45.7
260.15,2026-04-06,11.1,2.4,0.0,95.5,84.0,45.7
260.15,2026-04-13,11.1,2.8,0.0,95.5,84.0,45.7
260.15,2026-04-20,11.1,2.8,0.0,95.5,84.0,45.7
260.15,2026-04-27,11.1,2.8,0.0,95.5,84.0,45.7
260.15,2026-05-04,11.1,2.8,0.0,95.5,84.0,45.7
260.15,2026-05-11,11.1,2.8,0.0,95.5,84.0,45.7
260.9,2026-02-23,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-03-02,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-03-09,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-03-16,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-03-23,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-03-30,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-04-06,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-04-13,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-04-20,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-04-27,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-05-04,5.6,0.4,0.0,0.0,0.4,0.0
260.9,2026-05-11,5.6,0.4,0.0,0.0,0.4,0.0
262.10,2026-02-23,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-03-02,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-03-09,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-03-16,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-03-23,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-03-30,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-04-06,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-04-13,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-04-20,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-04-27,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-05-04,33.3,1.2,0.0,0.0,0.0,0.0
262.10,2026-05-11,33.3,1.2,0.0,0.0,0.0,0.0
262.11,2026-02-23,16.7,0.4,0.0,0.0,0.0,0.0
262.11,2026-03-02,44.4,1.6,0.0,0.0,0.0,0.0
262.11,2026-03-09,55.6,2.0,0.0,0.0,0.0,0.0
