current_version,week_start,stagger,cumulative_cells,stagger_total_cells,pct_of_stagger
260.15,2026-03-16,R0,0,9,0.0
260.15,2026-03-16,R1,1,113,0.9
260.15,2026-03-16,R2a,49,472,10.4
260.15,2026-03-16,R2b,1,119,0.8
260.15,2026-03-16,SB0,1,16,6.3
260.15,2026-03-16,SB1,2,268,0.7
260.15,2026-03-23,R0,0,9,0.0
260.15,2026-03-23,R1,1,113,0.9
260.15,2026-03-23,R2a,49,472,10.4
260.15,2026-03-23,R2b,1,119,0.8
260.15,2026-03-23,SB0,1,16,6.3
260.15,2026-03-23,SB1,2,268,0.7
260.15,2026-03-30,R0,0,9,0.0
260.15,2026-03-30,R1,1,113,0.9
260.15,2026-03-30,R2a,49,472,10.4
260.15,2026-03-30,R2b,1,119,0.8
260.15,2026-03-30,SB0,1,16,6.3
260.15,2026-03-30,SB1,2,268,0.7
260.15,2026-04-06,R0,0,9,0.0
260.15,2026-04-06,R1,1,113,0.9
260.15,2026-04-06,R2a,49,472,10.4
260.15,2026-04-06,R2b,1,119,0.8
260.15,2026-04-06,SB0,1,16,6.3
260.15,2026-04-06,SB1,2,268,0.7
260.15,2026-04-13,R0,0,9,0.0
260.15,2026-04-13,R1,1,113,0.9
260.15,2026-04-13,R2a,49,472,10.4
260.15,2026-04-13,R2b,1,119,0.8
260.15,2026-04-13,SB0,1,16,6.3
260.15,2026-04-13,SB1,3,268,1.1
260.15,2026-04-20,R0,0,9,0.0
260.15,2026-04-20,R1,1,113,0.9
260.15,2026-04-20,R2a,49,472,10.4
260.15,2026-04-20,R2b,1,119,0.8
260.15,2026-04-20,SB0,1,16,6.3
260.15,2026-04-20,SB1,3,268,1.1
260.15,2026-04-27,R0,0,9,0.0
260.15,2026-04-27,R1,1,113,0.9
260.15,2026-04-27,R2a,49,472,10.4
260.15,2026-04-27,R2b,1,119,0.8
260.15,2026-04-27,SB0,1,16,6.3
260.15,2026-04-27,SB1,3,268,1.1
260.15,2026-05-04,R0,0,9,0.0
260.15,2026-05-04,R1,1,113,0.9
260.15,2026-05-04,R2a,49,472,10.4
260.15,2026-05-04,R2b,1,119,0.8
260.15,2026-05-04,SB0,1,16,6.3
260.15,2026-05-04,SB1,3,268,1.1
260.15,2026-05-11,R0,0,9,0.0
260.15,2026-05-11,R1,1,113,0.9
260.15,2026-05-11,R2a,49,472,10.4
260.15,2026-05-11,R2b,1,119,0.8
